Bot #1 Type,Pruning,Depth,Heuristic,Wins,Mean Turn Time,    Stdev Turn Time,Bot #2 Type,Pruning,Depth,Heuristic,Wins,Mean Turn Time, Stdev Turn Time,    Mean # Turns/Match,Stdev # Rounds/Match,Mean Sec/Match, Stdev Sec/Match
MINIMAX,T,1,RATIO,0,0.00243463041462,0.00119960392389,MINIMAX,T,1,RATIO,1,0.0022889797344,0.0011056826489,461.0,0.0,1.0868639946,0.0
MINIMAX,T,1,RATIO,1,0.0201978683472,0.00450053630326,MINIMAX,T,1,VORONOI,0,0.00173381817194,0.000944832938798,324.0,0.0,3.53293085098,0.0
MINIMAX,T,1,RATIO,1,0.0363688599932,0.00732143199185,MINIMAX,T,1,CHAMBER,0,0.00109391108803,0.000464724366681,184.0,0.0,3.41032505035,0.0
MINIMAX,T,1,RATIO,0,0.00670012973604,0.00374823494305,MINIMAX,T,2,RATIO,1,0.002336016909,0.0011892792774,461.0,0.0,2.08300995827,0.0
MINIMAX,T,1,RATIO,0,0.0618844792463,0.028048656688,MINIMAX,T,2,VORONOI,1,0.00211437504466,0.00105744216798,413.0,0.0,13.2438421249,0.0
MINIMAX,T,1,RATIO,1,0.134214286146,0.0326144798844,MINIMAX,T,2,CHAMBER,0,0.000806004314099,0.000293414463882,118.0,0.0,7.83207702637,0.0
MINIMAX,T,1,RATIO,0,0.0139624494495,0.00824938799977,MINIMAX,T,3,RATIO,1,0.00231348583271,0.00122183682855,461.0,0.0,3.7554500103,0.0
MINIMAX,T,1,RATIO,1,0.157336705023,0.0949978707777,MINIMAX,T,3,VORONOI,0,0.00156898839133,0.000937792020983,280.0,0.0,22.089662075,0.0
MINIMAX,T,1,RATIO,1,0.321984381903,0.120693295337,MINIMAX,T,3,CHAMBER,0,0.00143133561442,0.000665099753502,254.0,0.0,40.7520129681,0.0
MINIMAX,T,1,RATIO,1,0.0175361790343,0.0102298369624,MINIMAX,T,4,RATIO,0,0.00178734177635,0.00112313327105,336.0,0.0,3.22905707359,0.0
MINIMAX,T,1,RATIO,0,0.321859357047,0.205572159521,MINIMAX,T,4,VORONOI,1,0.0018156337738,0.000853028800944,353.0,0.0,57.28708601,0.0
MINIMAX,T,1,RATIO,1,0.536987499152,0.32618118221,MINIMAX,T,4,CHAMBER,0,0.00185266998079,0.0008830237249,360.0,0.0,96.4545230865,0.0
MINIMAX,T,1,RATIO,0,0.0024491223422,0.00120470105635,MINIMAX,F,1,RATIO,1,0.00229221660497,0.00111467601957,461.0,0.0,1.09097290039,0.0
MINIMAX,T,1,RATIO,1,0.0200896514869,0.00454845697927,MINIMAX,F,1,VORONOI,0,0.00172731169948,0.000983953995579,324.0,0.0,3.51446986198,0.0
MINIMAX,T,1,RATIO,1,0.0362924114688,0.00738847977762,MINIMAX,F,1,CHAMBER,0,0.00111702991569,0.000479770985462,184.0,0.0,3.40551400185,0.0
MINIMAX,T,1,RATIO,0,0.00901678423861,0.00461845355442,MINIMAX,F,2,RATIO,1,0.00230351077417,0.00116227544928,461.0,0.0,2.61070394516,0.0
MINIMAX,T,1,RATIO,1,0.0697414716085,0.0285354299984,MINIMAX,F,2,VORONOI,0,0.00197284318963,0.000946967410769,392.0,0.0,13.9865500927,0.0
MINIMAX,T,1,RATIO,1,0.116518483017,0.041481695339,MINIMAX,F,2,CHAMBER,0,0.00210724106754,0.00470594045078,332.0,0.0,19.5755851269,0.0
MINIMAX,T,1,RATIO,0,0.0201825940764,0.0105464703007,MINIMAX,F,3,RATIO,1,0.0022901541281,0.00118907088769,461.0,0.0,5.18697094917,0.0
MINIMAX,T,1,RATIO,0,0.191553336752,0.100155651313,MINIMAX,F,3,VORONOI,1,0.00180187634059,0.000866418908916,353.0,0.0,34.2205429077,0.0
MINIMAX,T,1,RATIO,1,0.339017972161,0.157000110247,MINIMAX,F,3,CHAMBER,0,0.0019478378056,0.00350690917211,318.0,0.0,53.8748009205,0.0
MINIMAX,T,1,RATIO,0,0.0455344579953,0.0270505006672,MINIMAX,F,4,RATIO,1,0.00224240898565,0.00112731199749,461.0,0.0,11.032307148,0.0
MINIMAX,T,1,RATIO,0,0.393320956668,0.336787369851,MINIMAX,F,4,VORONOI,1,0.00205641839562,0.00100173669004,413.0,0.0,81.8393340111,0.0
MINIMAX,T,1,RATIO,1,0.961195373068,0.557426693381,MINIMAX,F,4,CHAMBER,0,0.00119456735629,0.000501879936424,206.0,0.0,98.1651380062,0.0
MINIMAX,T,1,RATIO,0,3.61572293674e-05,0.000207972240484,NAIVE,N/A,N/A,N/A,1,0.00156389421491,0.000723349886324,271.0,0.0,0.21463394165,0.0
MINIMAX,T,1,VORONOI,1,0.000500542776925,0.000113597159001,MINIMAX,T,1,RATIO,0,0.0245191617446,0.00569536693516,44.0,0.0,0.549968004227,0.0
MINIMAX,T,1,VORONOI,1,0.0261072317759,0.00151250137551,MINIMAX,T,1,VORONOI,0,0.0250183105469,0.00312196706049,20.0,0.0,0.48516702652,0.0
MINIMAX,T,1,VORONOI,1,0.0433406564924,0.0029690481891,MINIMAX,T,1,CHAMBER,0,0.0237349510193,0.00328410689351,20.0,0.0,0.627429962158,0.0
MINIMAX,T,1,VORONOI,1,0.00137677646819,0.000447747101947,MINIMAX,T,2,RATIO,0,0.0247622078115,0.00535315253267,44.0,0.0,0.573719024658,0.0
MINIMAX,T,1,VORONOI,1,0.092466378212,0.00743898352004,MINIMAX,T,2,VORONOI,0,0.0285980267958,0.00753303068194,22.0,0.0,1.23925590515,0.0
MINIMAX,T,1,VORONOI,1,0.138670134544,0.0201825385214,MINIMAX,T,2,CHAMBER,0,0.026515418833,0.00466618950685,22.0,0.0,1.67838716507,0.0
MINIMAX,T,1,VORONOI,1,0.0024766537451,0.001200218382,MINIMAX,T,3,RATIO,0,0.0222027376294,0.00570576393785,64.0,0.0,0.787305831909,0.0
MINIMAX,T,1,VORONOI,1,0.232072520256,0.0730320887917,MINIMAX,T,3,VORONOI,0,0.0281450748444,0.00952012960535,22.0,0.0,2.63033890724,0.0
MINIMAX,T,1,VORONOI,1,0.208853410215,0.172833693707,MINIMAX,T,3,CHAMBER,0,0.0207174396515,0.00565050474852,100.0,0.0,11.2697708607,0.0
